id;title;description;priority;status;create_time;update_time;archived;work_group_id
1;fond moor past;abnegate offend;HIGH;DONE;2025-06-12T03:05:36;2025-06-13T01:01:05;true;1
2;formation;up;HIGH;WORKING_ON_IT;2025-06-12T16:09:37;2025-06-12T10:40:22;true;2
3;shipper;meaty;NORMAL;WORKING_ON_IT;2025-06-12T22:05:15;2025-06-12T17:39:01;false;3
4;unlike since spirit;whose daily where;NORMAL;DONE;2025-06-13T01:26:00;2025-06-12T15:50:48;false;4
5;broadly before downright;healthily;HIGH;DONE;2025-06-12T19:54:15;2025-06-12T14:11:05;false;5
6;like never enthusiastically;better;HIGH;WORKING_ON_IT;2025-06-12T10:28:25;2025-06-12T04:15:31;false;6
7;past or why;evenly;LOW;WORKING_ON_IT;2025-06-12T08:38:19;2025-06-12T20:47:03;true;7
8;beside cappelletti um;an;LOW;WORKING_ON_IT;2025-06-13T00:05:08;2025-06-12T09:03:24;false;8
9;minor how or;down blacken round;LOW;NOT_STARTED;2025-06-12T06:48:51;2025-06-12T16:19:05;true;9
10;brisk pish;than;HIGH;WORKING_ON_IT;2025-06-12T18:44:47;2025-06-12T09:43:57;false;10
